Date,Time,Month,epoch_format,zigduino-3:humidity,zigduino-3:temperature,zigduino-4:humidity,zigduino-4:temperature
2020-01-24,00:00:00,1,1579824000000.0,5.21642826683741,19.79983143651992,1.0,22.24852755654495
2020-01-24,02:00:00,1,1579831200000.0,5.044783297636251,19.655427580076356,1.0,22.103933926134182
2020-01-24,04:00:00,1,1579838400000.0,4.726603535071533,19.947718398277694,1.0,22.859655137517446
2020-01-24,06:00:00,1,1579845600000.0,4.319310043256324,20.210097332586496,1.0,23.44476209471193
2020-01-24,08:00:00,1,1579852800000.0,3.9122869571635226,20.693772337448213,1.0,23.83861988414272
2020-01-24,10:00:00,1,1579860000000.0,4.075557407833319,21.19810682512604,1.0,24.09253295710672
2020-01-24,12:00:00,1,1579867200000.0,5.030900298721609,21.33245685916013,1.0,24.32025629941485
2020-01-24,14:00:00,1,1579874400000.0,5.847433677780864,21.00664705943299,1.0,24.187400400613505
2020-01-24,16:00:00,1,1579881600000.0,6.340618427530978,21.072549389850003,1.0,24.01287348750864
2020-01-24,18:00:00,1,1579888800000.0,5.911083100295844,20.73545749074653,1.0,22.954185579321592
2020-01-24,20:00:00,1,1579896000000.0,5.7901978595045165,20.22280201893872,1.0,22.618994905008805
2020-01-24,22:00:00,1,1579903200000.0,5.834497420487907,20.000757259935405,1.0,22.39953684856975
2020-01-25,00:00:00,1,1579910400000.0,6.0653627140915605,19.82958950680513,1.0,22.196592640264925
2020-01-25,02:00:00,1,1579917600000.0,6.383066960729167,19.691439391887634,1.0,22.0446058483906
2020-01-25,04:00:00,1,1579924800000.0,6.635057705057909,19.586162263487164,1.0,21.942574454898537
2020-01-25,06:00:00,1,1579932000000.0,6.707698620413852,19.490450110814628,1.0,21.83904019453268
2020-01-25,08:00:00,1,1579939200000.0,6.943301800949466,19.404920772949605,1.0,21.750021034597
2020-01-25,10:00:00,1,1579946400000.0,7.754101876807303,19.398190608684587,1.0,21.672576893867628
2020-01-25,12:00:00,1,1579953600000.0,8.525410200399062,19.474779037151407,1.0,21.677009509900664
2020-01-25,14:00:00,1,1579960800000.0,9.128664574086605,19.44818066457594,1.0,21.55302923047648
2020-01-25,16:00:00,1,1579968000000.0,9.483045791446235,19.391206989280303,1.0,21.472843817316488
2020-01-25,18:00:00,1,1579975200000.0,9.377071862868718,19.31295679595524,1.0,21.40374306078088
2020-01-25,20:00:00,1,1579982400000.0,8.84027339923269,19.261703291450765,1.0,21.402523818314958
2020-01-25,22:00:00,1,1579989600000.0,8.21451422804085,19.182142049462843,1.0,21.40020992427469
2020-01-26,00:00:00,1,1579996800000.0,8.28897996816224,19.10374382372033,1.0,21.398064398695357
2020-01-26,02:00:00,1,1580004000000.0,8.40891851674723,19.028649667556117,1.0,21.35725650217637
2020-01-26,04:00:00,1,1580011200000.0,8.398527186710291,18.96697505281711,1.0,21.299389415383967
2020-01-26,06:00:00,1,1580018400000.0,8.404205733418591,18.900167863125805,1.0,21.234707847983582
2020-01-26,08:00:00,1,1580025600000.0,8.507425235809276,18.90185069837237,1.0,21.227303668236
2020-01-26,10:00:00,1,1580032800000.0,9.018342418534242,18.890575939334138,1.0,21.19448958939748
2020-01-26,12:00:00,1,1580040000000.0,9.65929740810274,18.974989387133466,1.0,21.239966441865825
2020-01-26,14:00:00,1,1580047200000.0,10.247139279562534,19.094825771911133,1.0,21.19659309082288
2020-01-26,16:00:00,1,1580054400000.0,10.556521026537506,19.01169545900235,1.0,21.200589703570703
2020-01-26,18:00:00,1,1580061600000.0,10.719141791435566,18.964808448001925,1.0,21.18673045682857
2020-01-26,20:00:00,1,1580068800000.0,10.66482963790701,18.899747198551804,1.0,21.12768243910838
2020-01-26,22:00:00,1,1580076000000.0,10.584855085067204,18.83262451927753,1.0,21.04634010104708
2020-01-27,00:00:00,1,1580083200000.0,11.172801849869153,18.79873716124076,1.0,20.92307015869269
2020-01-27,02:00:00,1,1580090400000.0,12.187610382084891,18.766238708881254,1.0,20.78662125744336
2020-01-27,04:00:00,1,1580097600000.0,12.6092135971416,19.00971841631589,1.0,21.626503911899025
2020-01-27,06:00:00,1,1580104800000.0,12.810727852455043,19.49871670342214,1.0,22.40605798367447
2020-01-27,08:00:00,1,1580112000000.0,13.014072354821836,20.36215811614284,1.0,22.810811678702255
2020-01-27,10:00:00,1,1580119200000.0,12.515418494003482,20.61846889444495,1.0,22.973159342289573
2020-01-27,12:00:00,1,1580126400000.0,12.816831493638526,20.622112668641563,1.0,23.06222148697869
2020-01-27,14:00:00,1,1580133600000.0,14.3763988893675,20.60828816354099,1.0,23.47341176226804
2020-01-27,16:00:00,1,1580140800000.0,13.841102261878284,20.81804778950025,1.0,23.36827911566324
2020-01-27,18:00:00,1,1580148000000.0,14.447875478661858,20.108834717220557,1.0,22.159023993447597
2020-01-27,20:00:00,1,1580155200000.0,14.17231804089833,19.73941956400921,1.0,21.701767045608022
2020-01-27,22:00:00,1,1580162400000.0,14.286411386906323,19.53361392713265,1.0,21.445635965068508
2020-01-28,00:00:00,1,1580169600000.0,14.898023126403617,19.410641089197718,1.0,21.317395194217745
2020-01-28,02:00:00,1,1580176800000.0,14.975220772113728,19.398064398695357,1.0,21.21764868470265
2020-01-28,04:00:00,1,1580184000000.0,14.57095067060741,19.613946157992263,1.0,22.060307042559607
2020-01-28,06:00:00,1,1580191200000.0,14.530353313641834,20.09198604715337,1.0,22.827823072527732
2020-01-28,08:00:00,1,1580198400000.0,13.890555347872724,20.256205212934507,1.0,23.16240290644393
2020-01-28,10:00:00,1,1580205600000.0,10.859507757924312,20.355237856099823,1.0,23.2251790451512
2020-01-28,12:00:00,1,1580212800000.0,9.603134188774408,20.521834565252128,1.0,23.373096019117384
2020-01-28,14:00:00,1,1580220000000.0,9.20639597007708,20.661687965722127,1.0,23.483592701399584
2020-01-28,16:00:00,1,1580227200000.0,9.465250316968122,20.72747190007654,1.0,23.523727565840808
2020-01-28,18:00:00,1,1580234400000.0,9.513420224942026,20.240176892952604,1.0,22.47412693535625
2020-01-28,20:00:00,1,1580241600000.0,9.472744375523709,19.88336444297173,1.0,21.94576214851516
2020-01-28,22:00:00,1,1580248800000.0,10.3142827408726,19.63660120733355,1.0,21.734160934018146
2020-01-29,00:00:00,1,1580256000000.0,11.044194321999491,19.445309004665276,1.0,21.56133805476772
2020-01-29,02:00:00,1,1580263200000.0,10.401956311885078,19.249958056384493,1.0,21.351240516762097
2020-01-29,04:00:00,1,1580270400000.0,9.577118767899796,19.564059128946813,1.0,22.142502468442064
2020-01-29,06:00:00,1,1580277600000.0,9.162684039002364,19.976861606288168,1.0,22.85753036277556
2020-01-29,08:00:00,1,1580284800000.0,9.166302110850935,20.41977318525816,1.0,23.013778034157244
2020-01-29,10:00:00,1,1580292000000.0,10.390450127745655,20.639293482085964,1.0,23.268195125802908
2020-01-29,12:00:00,1,1580299200000.0,11.102840271894992,20.784998915207,1.0,23.402650370535653
2020-01-29,14:00:00,1,1580306400000.0,10.13291956709371,21.20309231468846,1.0,23.77332207952428
2020-01-29,16:00:00,1,1580313600000.0,9.678523303783386,20.954269913900887,1.0,23.949810655567397
2020-01-29,18:00:00,1,1580320800000.0,9.97349595341504,20.46180040554485,1.0,22.737947120554164
2020-01-29,20:00:00,1,1580328000000.0,10.160769880043643,20.136601275940325,1.0,22.32048346061185
2020-01-29,22:00:00,1,1580335200000.0,10.71379599325539,19.954321592312883,1.0,22.020446018255907
2020-01-30,00:00:00,1,1580342400000.0,11.254101793355783,19.839040196939933,1.0,21.84671796807533
2020-01-30,02:00:00,1,1580349600000.0,11.593226919868286,19.732478180701964,1.0,21.72841249339588
2020-01-30,04:00:00,1,1580356800000.0,11.420992844035558,19.96037036508986,1.0,22.6111484635112
2020-01-30,06:00:00,1,1580364000000.0,11.061632319263014,20.32911204288725,1.0,23.31354614902957
2020-01-30,08:00:00,1,1580371200000.0,11.231096138082352,20.60993076680009,1.0,23.64766501738436
2020-01-30,10:00:00,1,1580378400000.0,11.545162062309949,20.87944842528334,1.0,23.951535365738987
